B = 14
5% 48146 47590.9
10% 95616 92945.9
15% 142846 137571
20% 189845 182237
25% 236727 226099
30% 283427 271920
35% 330158 313994
40% 376843 359089
45% 423553 406476
50% 470137 450460
55% 516598 494569
60% 563192 535746
65% 609772 583016
70% 656317 628260
75% 702871 672455
80% 749332 724125
85% 795811 771412
90% 842416 818219
95% 888867 864034
100% 935359 908279
__________________________
